 ;;IDADE;;;;;RENDA;;;;;;
;TOTAL;16 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 ANOS OU MAIS;ATÉ          1 SM;DE 1 ATÉ 2 SM;ACIMA DE 2 ATÉ 5 SM;ACIMA DE 5 SM;NS/NR;;
BASE;100%;18%;23%;22%;22%;14%;55%;29%;8%;3%;5%;;
João da Costa;22%;30%;21%;19%;22%;21%;20%;23%;36%;30%;14%;;
Raul Henry;9%;13%;12%;10%;6%;6%;10%;10%;8%;10%;0%;;
Daniel Coelho;6%;9%;8%;6%;3%;5%;6%;7%;9%;0%;0%;;
Raul Jungmann;5%;4%;6%;6%;7%;2%;4%;5%;11%;10%;7%;;
Branco/Nulo;46%;35%;42%;52%;52%;48%;47%;45%;34%;50%;57%;;
NS/NR;10%;10%;11%;6%;9%;18%;12%;9%;2%;0%;21%;;
;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;;
;; ; ;Faixa etária:;;;;;Renda Individual:;;;;
;;;;De 16 a 24;De 25 a 34;De 35 a 44;De 45 a 59;60 ou mais;Até 1 SM;De 1 até 2 SM;Acima de 2 até 5 SM;Acima de 5 SM;NS/NR
João da Costa;22,5%;;João da Costa;29,86111111;20,96774194;19,31818182;22,22222222;20,53571429;20,40816327;23,17596567;35,9375;30;14,28571429
Raul Henry;9,4%;;Raul Henry;12,5;11,82795699;10,22727273;5,555555556;6,25;9,977324263;10,30042918;7,8125;10;0
Daniel Coelho;6,2%;Se a eleição para prefeito do Recife fosse hoje, e os candidatos fossem estes, em qual deles você votaria? (ESTIMULADA) CENÁRIO 2;Daniel Coelho;9,027777778;7,52688172;6,25;3,333333333;5,357142857;6,349206349;6,86695279;9,375;0;0
Raul Jungmann;5,4%;;Raul Jungmann;4,166666667;5,913978495;6,25;7,222222222;1,785714286;4,308390023;5,150214592;10,9375;10;7,142857143
;46,1%;;Em branco/Nulo;34,72222222;42,47311828;51,70454545;52,22222222;48,21428571;46,93877551;45,49356223;34,375;50;57,14285714
NS/NR;10,5%;;NS/NR;9,722222222;11,29032258;6,25;9,444444444;17,85714286;12,01814059;9,012875536;1,5625;0;21,42857143
