 ;;IDADE;;;;;RENDA;;;;;;
;TOTAL;16 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 ANOS OU MAIS;ATÉ          1 SM;DE 1 ATÉ 2 SM;ACIMA DE 2 ATÉ 5 SM;ACIMA DE 5 SM;NS/NR;;
BASE;100%;18%;23%;22%;22%;14%;55%;29%;8%;3%;5%;;
João Paulo;46%;44%;47%;43%;48%;48%;48%;46%;38%;45%;33%;;
Raul Henry;6%;6%;7%;8%;5%;4%;5%;9%;8%;10%;0%;;
Raul Jungmann;4%;6%;5%;6%;4%;1%;3%;5%;5%;10%;10%;;
Daniel Coelho;4%;5%;6%;2%;3%;3%;5%;3%;6%;0%;0%;;
Silvio Costa Filho;2%;3%;1%;4%;2%;1%;2%;3%;3%;10%;2%;;
Fernando Bezerra Coelho;1%;1%;2%;0%;2%;0%;0%;2%;2%;0%;0%;;
Branco/Nulo;27%;28%;25%;29%;27%;29%;26%;27%;29%;25%;40%;;
NS/NR;9%;7%;7%;8%;9%;14%;10%;6%;10%;0%;14%;;
;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;;
;; ; ;Faixa etária:;;;;;Renda Individual:;;;;
;;;;De 16 a 24;De 25 a 34;De 35 a 44;De 45 a 59;60 ou mais;Até 1 SM;De 1 até 2 SM;Acima de 2 até 5 SM;Acima de 5 SM;NS/NR
João Paulo;45,9%;;João Paulo;43,75;46,56084656;42,69662921;48,33333333;47,82608696;48,20627803;45,76271186;38,0952381;45;33,33333333
Raul Henry;6,4%;;Raul Henry;6,25;7,407407407;8,426966292;5;4,347826087;5,381165919;8,898305085;7,936507937;10;0
Raul Jungmann;4,3%;;Raul Jungmann;5,555555556;4,761904762;5,617977528;3,888888889;0,869565217;3,3632287;4,661016949;4,761904762;10;9,523809524
Daniel Coelho;4,1%;;Daniel Coelho;4,861111111;6,349206349;2,247191011;3,333333333;3,47826087;5,156950673;2,542372881;6,349206349;0;0
Silvio Costa Filho;2,5%;;Silvio Costa Filho;3,472222222;1,058201058;4,494382022;2,222222222;0,869565217;1,793721973;2,966101695;3,174603175;10;2,380952381
Fernando Bezerra Coelho;0,9%;Se a eleição para prefeito do Recife fosse hoje, e os candidatos fossem estes, em qual deles você votaria? (ESTIMULADA) CENÁRIO 5;Fernando Bezerra Coelho;0,694444444;1,587301587;0;1,666666667;0;0,448430493;1,694915254;1,587301587;0;0
Em branco/Nulo;27,2%;;Em branco/Nulo;28,47222222;24,86772487;28,65168539;26,66666667;28,69565217;25,78475336;27,11864407;28,57142857;25;40,47619048
NS/NR;8,8%;;NS/NR;6,944444444;7,407407407;7,865168539;8,888888889;13,91304348;9,865470852;6,355932203;9,523809524;0;14,28571429
